"Symbol","ENSG","trt","untrt","baseMean","log2FoldChange","pvalue","padj","Entrez"
"HINT1","ENSG00000169567",10.834,10.624,10.729,-0.383,0.1185,0.3713,"3094"
"Z97192.2","ENSG00000213279",6.603,6.729,6.666,-0.332,0.1186,0.3714,""
"AC008758.6","ENSG00000269755",6.212,6.345,6.279,-0.227,0.1187,0.3714,""
"AC007613.1","ENSG00000262420",6.532,6.476,6.504,1.052,0.1187,0.3714,""
"CRYZL2P","ENSG00000242193",8.908,8.912,8.91,0.448,0.1187,0.3716,"730102"
"HLCS","ENSG00000159267",9.906,9.756,9.831,0.416,0.1188,0.3717,"3141"
"AC243562.2","ENSG00000259683",6.816,6.833,6.824,0.624,0.1189,0.3718,""
"RRNAD1","ENSG00000143303",8.781,8.633,8.707,0.345,0.1189,0.3718,"51093"
"AC009123.1","ENSG00000250685",6.322,6.199,6.26,-0.458,0.1189,0.3718,""
"AC105749.1","ENSG00000281100",6.5,6.492,6.496,0.438,0.1189,0.3718,""
"FHOD3","ENSG00000134775",11.567,11.461,11.514,-0.573,0.1189,0.3719,"80206"
"USP32","ENSG00000170832",10.739,10.577,10.658,-1.018,0.119,0.3719,"84669"
"AC025754.2","ENSG00000271874",6.481,6.35,6.416,0.293,0.119,0.3719,""
"TOR3A","ENSG00000186283",9.638,9.443,9.54,0.38,0.1191,0.372,"64222"
"ZNF37A","ENSG00000075407",10.041,10.09,10.065,-0.24,0.1191,0.372,"7587"
"USP15","ENSG00000135655",9.761,9.758,9.759,0.776,0.119,0.372,"9958"
"POP5","ENSG00000167272",8.401,8.508,8.454,-0.713,0.1191,0.372,"51367"
"NPAS1","ENSG00000130751",6.618,6.755,6.686,0.637,0.1191,0.372,"4861"
"AC021755.2","ENSG00000259584",6.267,6.315,6.291,-0.339,0.1193,0.3724,""
"ABCB1","ENSG00000085563",7.58,7.903,7.742,0.559,0.1194,0.3725,"5243"
"ACOT1","ENSG00000184227",7.702,7.299,7.501,0.189,0.1194,0.3725,"641371"
"ABCA8","ENSG00000141338",12.07,12.07,12.07,-0.597,0.1194,0.3725,"10351"
"PVR","ENSG00000073008",10.527,10.81,10.668,-0.196,0.1194,0.3726,"5817"
"AC027682.1","ENSG00000259804",6.426,6.28,6.353,-0.227,0.1194,0.3726,""
"SLC9A9","ENSG00000181804",10.256,9.822,10.039,0.164,0.1198,0.3733,"285195"
"STAC","ENSG00000144681",8.485,8.374,8.429,-0.61,0.1198,0.3733,"6769"
"NSD1","ENSG00000165671",10.463,10.689,10.576,0.262,0.1197,0.3733,"64324"
"AC005086.3","ENSG00000280004",6.377,6.316,6.346,0.211,0.1198,0.3733,""
"MALRD1","ENSG00000204740",6.522,6.608,6.565,-0.488,0.1197,0.3733,"340895"
"AC026691.1","ENSG00000270021",6.658,6.783,6.72,0.795,0.1197,0.3733,""
"TTC23","ENSG00000103852",9.108,9.271,9.19,0.205,0.1198,0.3734,"64927"
"ANKRD1","ENSG00000148677",6.561,6.302,6.431,-0.441,0.1199,0.3734,"27063"
"C11orf74","ENSG00000166352",8.451,8.556,8.504,0.28,0.1199,0.3735,"119710"
"TEPP","ENSG00000159648",6.286,6.299,6.293,0.633,0.12,0.3736,"374739"
"AC092279.2","ENSG00000279425",6.554,6.632,6.593,-0.941,0.1201,0.3739,""
"EP300","ENSG00000100393",11.42,11.247,11.334,-0.86,0.1201,0.374,"2033"
"OR52E4","ENSG00000180974",7.088,7.114,7.101,-0.476,0.1203,0.3742,"390081"
"LAMA5","ENSG00000130702",10.251,10.327,10.289,-0.627,0.1203,0.3742,"3911"
"PYGL","ENSG00000100504",10.316,10.223,10.269,-0.748,0.1203,0.3742,"5836"
"ZSCAN12","ENSG00000158691",8.092,8.193,8.143,-0.329,0.1203,0.3742,"9753"
"AL031058.1","ENSG00000261189",6.382,6.259,6.321,0.548,0.1204,0.3743,""
"AC005329.1","ENSG00000248015",6.994,6.465,6.73,0.459,0.1204,0.3744,""
"AP001469.3","ENSG00000239415",6.555,6.765,6.66,0.416,0.1205,0.3747,""
"GDF11","ENSG00000135414",9.488,9.813,9.651,0.182,0.1207,0.375,"10220"
"XRN1","ENSG00000114127",10.742,10.789,10.765,0.949,0.1207,0.3751,"54464"
"ZDHHC13","ENSG00000177054",8.55,8.144,8.347,0.4,0.1207,0.3751,"54503"
"PAQR9","ENSG00000188582",6.258,6.403,6.33,-1.631,0.1209,0.3756,"344838"
"USP38","ENSG00000170185",9.434,9.311,9.373,0.63,0.121,0.3759,"84640"
"PILRB","ENSG00000121716",8.472,8.173,8.322,1.428,0.1211,0.376,"29990"
"GPRC5B","ENSG00000167191",12.064,10.424,11.244,0.166,0.1212,0.3762,"51704"
"VASH2","ENSG00000143494",6.792,6.891,6.842,0.287,0.1212,0.3763,"79805"
"AC009303.2","ENSG00000235066",6.274,6.302,6.288,0.143,0.1213,0.3764,""
"JHY","ENSG00000109944",8.011,8.072,8.042,0.225,0.1213,0.3765,"79864"
"SNRPCP9","ENSG00000231812",6.21,6.262,6.236,1.468,0.1215,0.3769,""
"PPP2R3B","ENSG00000167393",8.215,8.457,8.336,-0.412,0.1215,0.377,"28227"
"AL353801.3","ENSG00000273363",6.431,6.372,6.401,0.601,0.1215,0.377,""
"KCNE5","ENSG00000176076",6.447,6.559,6.503,-1.363,0.1216,0.3771,"23630"
"AC002310.5","ENSG00000261459",6.827,6.663,6.745,1.094,0.1217,0.3773,""
"CLIP2","ENSG00000106665",10.891,11.078,10.984,0.314,0.1217,0.3773,"7461"
"KIAA0556","ENSG00000047578",9.874,9.909,9.891,-1.21,0.1217,0.3774,"23247"
"TOP3BP1","ENSG00000228050",6.271,6.245,6.258,0.82,0.1218,0.3774,""
"MFSD14C","ENSG00000196312",9.21,9.236,9.223,-0.323,0.1218,0.3775,"84278"
"AC083964.1","ENSG00000272293",6.581,6.481,6.531,0.166,0.1219,0.3776,""
"LAMTOR4","ENSG00000188186",9.695,9.55,9.622,-0.52,0.1219,0.3776,"389541"
"PRDX3P2","ENSG00000231468",6.248,6.359,6.304,0.265,0.1219,0.3776,""
"BCL9L","ENSG00000186174",11.649,11.449,11.549,0.307,0.122,0.3777,"283149"
"FMR1-IT1","ENSG00000236337",6.493,6.451,6.472,0.133,0.122,0.3777,""
"GREB1","ENSG00000196208",6.853,6.983,6.918,-0.6,0.1221,0.3777,"9687"
"SNX27","ENSG00000143376",9.927,9.881,9.904,-0.808,0.122,0.3777,"81609"
"ZNF326","ENSG00000162664",9.775,10.223,9.999,-0.315,0.1221,0.3778,"284695"
"IQGAP2","ENSG00000145703",7.447,7.731,7.589,0.348,0.1222,0.3778,"10788"
"ASCC2","ENSG00000100325",9.879,10.084,9.982,0.254,0.1222,0.3778,"84164"
"PRDX1","ENSG00000117450",11.994,12.007,12,-0.422,0.1222,0.3778,"5052"
"UBE2F","ENSG00000184182",9.573,9.564,9.568,-0.395,0.1222,0.3778,"140739"
"AL590426.1","ENSG00000231762",6.231,6.429,6.33,-0.46,0.1222,0.3778,""
"ARIH1","ENSG00000166233",10.979,10.963,10.971,-0.145,0.1227,0.3792,"25820"
"CUBN","ENSG00000107611",6.925,7.539,7.232,-1.01,0.1228,0.3793,"8029"
"ZNF606","ENSG00000166704",8.268,8.31,8.289,0.288,0.1228,0.3793,"80095"
"RETREG3","ENSG00000141699",10.356,10.091,10.223,0.509,0.1228,0.3793,"162427"
"OVCA2","ENSG00000262664",8.711,8.717,8.714,-0.661,0.1228,0.3794,"124641"
"RN7SL377P","ENSG00000266569",6.321,6.215,6.268,-0.223,0.1229,0.3795,""
"LINC01732","ENSG00000237292",6.258,6.258,6.258,-1.1,0.1229,0.3795,"101928973"
"AC026436.1","ENSG00000248794",6.336,6.398,6.367,0.723,0.1229,0.3795,""
"MITF","ENSG00000187098",10.587,10.443,10.515,0.341,0.123,0.3796,"4286"
"ATP6V0E2","ENSG00000171130",8.717,8.806,8.761,0.191,0.123,0.3797,"155066"
"SAFB2","ENSG00000130254",10.321,10.237,10.279,-0.217,0.1232,0.38,"9667"
"CCDC189","ENSG00000196118",7.034,7.229,7.131,0.334,0.1232,0.3801,"90835"
"LRIG2","ENSG00000198799",9.149,9.239,9.194,-0.577,0.1234,0.3807,"9860"
"AL109918.1","ENSG00000216775",8.394,8.904,8.649,-0.285,0.1235,0.3808,"730101"
"C19orf71","ENSG00000183397",7.324,7.174,7.249,-0.483,0.1236,0.3808,"100128569"
"MAPK8","ENSG00000107643",9.258,9.306,9.282,-0.341,0.1236,0.3808,"5599"
"MAGIX","ENSG00000269313",6.856,6.994,6.925,-0.485,0.1235,0.3808,"79917"
"DRAIC","ENSG00000245750",6.483,6.487,6.485,-0.75,0.1236,0.3808,"104472713"
"C14orf28","ENSG00000179476",8.146,8.189,8.168,-0.473,0.1236,0.3808,"122525"
"HYOU1","ENSG00000149428",11.132,10.918,11.025,0.275,0.1236,0.3809,"10525"
"RF00017","ENSG00000276839",6.276,6.255,6.265,-0.565,0.1237,0.3809,""
"KCNJ6","ENSG00000157542",6.936,6.76,6.848,-0.876,0.1237,0.3809,"3763"
"RFX2","ENSG00000087903",8.246,8.63,8.438,0.507,0.1238,0.3811,"5990"
"EYS","ENSG00000188107",7.003,6.899,6.951,0.337,0.1238,0.3811,"346007"
"RF00017","ENSG00000203573",6.45,6.417,6.433,-0.631,0.1238,0.3811,""
"YEATS4","ENSG00000127337",7.849,7.971,7.91,-0.573,0.1239,0.3812,"8089"
"AC095055.1","ENSG00000270681",6.448,6.485,6.466,0.239,0.1239,0.3813,""
"SLITRK6","ENSG00000184564",6.614,7.547,7.08,-0.123,0.124,0.3816,"84189"
"ITGAL","ENSG00000005844",6.596,6.582,6.589,1.074,0.1242,0.382,"3683"
"AC036108.3","ENSG00000261616",6.631,6.741,6.686,-0.845,0.1243,0.3821,""
"GRIK4","ENSG00000149403",6.826,7.491,7.159,0.2,0.1243,0.3822,"2900"
"ARL6IP1","ENSG00000170540",10.798,10.554,10.676,-0.241,0.1244,0.3823,"23204"
"CDH24","ENSG00000139880",7.903,8.288,8.095,0.27,0.1244,0.3823,"64403"
"RNASEL","ENSG00000135828",8.96,8.889,8.925,1.468,0.1244,0.3823,"6041"
"SLC24A3","ENSG00000185052",7.283,6.827,7.055,0.902,0.1245,0.3825,"57419"
"AL445685.3","ENSG00000285839",8.918,8.816,8.867,-1.112,0.1246,0.3827,""
"SLC30A1","ENSG00000170385",10.696,10.454,10.575,0.369,0.1247,0.383,"7779"
"SFXN2","ENSG00000156398",7.369,7.237,7.303,0.646,0.1247,0.383,"118980"
"HTR2A","ENSG00000102468",6.536,6.782,6.659,0.245,0.1247,0.383,"3356"
"CXorf21","ENSG00000120280",6.296,6.298,6.297,-0.129,0.1247,0.383,"80231"
"NLGN4X","ENSG00000146938",7.828,7.546,7.687,0.411,0.1249,0.3835,"57502"
"AC138894.2","ENSG00000270118",6.539,6.471,6.505,-0.227,0.125,0.3836,""
"AC079610.1","ENSG00000196096",7.066,7.012,7.039,-0.873,0.125,0.3836,"100130451"
"AL645730.1","ENSG00000279324",6.285,6.333,6.309,0.587,0.1251,0.3837,""
"NBEAL1","ENSG00000144426",9.48,9.501,9.49,0.647,0.1252,0.3839,"65065"
"AC060766.5","ENSG00000267648",7.107,6.93,7.018,1.593,0.1252,0.3839,""
"MEGF10","ENSG00000145794",6.288,6.451,6.369,0.234,0.1253,0.3839,"84466"
"TAF15","ENSG00000270647",11.512,11.298,11.405,0.259,0.1252,0.3839,"8148"
"AC026202.2","ENSG00000233912",6.275,6.243,6.259,0.192,0.1251,0.3839,""
"LACTB2","ENSG00000147592",9.078,8.709,8.893,-0.216,0.1254,0.3843,"51110"
"GPR20","ENSG00000204882",6.267,6.592,6.43,0.205,0.1254,0.3843,"2843"
"GNE","ENSG00000159921",9.378,9.189,9.284,-0.679,0.1255,0.3843,"10020"
"AC022509.3","ENSG00000256894",6.346,6.385,6.366,-0.343,0.1255,0.3843,""
"TMEM102","ENSG00000181284",7.181,7.081,7.131,-0.304,0.1255,0.3843,"284114"
"LEKR1","ENSG00000197980",6.663,6.577,6.62,-0.144,0.1256,0.3845,"389170"
"HELLS","ENSG00000119969",7.572,7.718,7.645,0.171,0.1257,0.3847,"3070"
"ATG10","ENSG00000152348",7.905,7.813,7.859,-0.203,0.1258,0.385,"83734"
"CEP120","ENSG00000168944",9.211,9.337,9.274,0.254,0.1258,0.385,"153241"
"ATP6V0A2","ENSG00000185344",9.241,9.149,9.195,-0.469,0.1258,0.385,"23545"
"TIMELESS","ENSG00000111602",8.11,8.385,8.247,-0.525,0.1261,0.3857,"8914"
"NXF1","ENSG00000162231",10.902,10.744,10.823,0.237,0.1261,0.3857,"10482"
"SHANK2","ENSG00000162105",8.359,8.353,8.356,0.256,0.1261,0.3858,"22941"
"ATP2A2","ENSG00000174437",13.869,12.554,13.212,0.219,0.1263,0.3862,"488"
"MIS18A","ENSG00000159055",7.452,7.63,7.541,-0.85,0.1265,0.3868,"54069"
"ALDH18A1","ENSG00000059573",10.389,10.783,10.586,0.254,0.1266,0.3869,"5832"
"AP000525.1","ENSG00000272872",6.497,6.505,6.501,-0.38,0.1269,0.3874,""
"HSP90AB1","ENSG00000096384",13.198,13.54,13.369,0.665,0.1268,0.3874,"3326"
"AC015922.2","ENSG00000265519",7.293,7.167,7.23,0.204,0.1269,0.3874,""
"AC093775.1","ENSG00000279104",6.28,6.353,6.316,0.345,0.1269,0.3874,""
"AC093673.1","ENSG00000232533",8.31,8.142,8.226,0.496,0.1268,0.3874,""
"RAD50","ENSG00000113522",10.844,10.787,10.815,-0.239,0.1269,0.3875,"10111"
"FGD4","ENSG00000139132",10.996,9.145,10.071,-0.4,0.127,0.3877,"121512"
"PTGES3L-AARSD1","ENSG00000108825",6.691,6.447,6.569,-0.207,0.127,0.3877,"100885850"
"RCC2","ENSG00000179051",10.485,10.537,10.511,0.369,0.127,0.3877,"55920"
"CDIPT","ENSG00000103502",12.107,11.292,11.7,-0.528,0.1271,0.3879,"10423"
"SEC23A","ENSG00000100934",11.938,11.963,11.95,-0.18,0.1271,0.3879,"10484"
"FLAD1","ENSG00000160688",8.765,8.643,8.704,-0.322,0.1272,0.3879,"80308"
"PHACTR2","ENSG00000112419",10.965,10.679,10.822,-0.472,0.1274,0.388,"9749"
"ATP6V1B1-AS1","ENSG00000239322",6.438,6.254,6.346,0.227,0.1275,0.388,"101927750"
"PRSS3","ENSG00000010438",6.937,6.885,6.911,0.292,0.1275,0.388,"5646"
"TP53I11","ENSG00000175274",12.22,11.992,12.106,-0.25,0.1273,0.388,"9537"
"AC107032.1","ENSG00000243071",6.319,6.281,6.3,-0.221,0.1275,0.388,""
"B3GNT2","ENSG00000170340",8.589,8.394,8.491,-0.142,0.1275,0.388,"10678"
"ADAMTS9","ENSG00000163638",7.196,7.096,7.146,-0.532,0.1273,0.388,"56999"
"TNPO2","ENSG00000105576",11.389,11.345,11.367,0.28,0.1273,0.388,"30000"
"LINC02076","ENSG00000220161",6.44,6.476,6.458,0.404,0.1274,0.388,"400579"
"C21orf62","ENSG00000205929",6.27,6.247,6.259,-0.173,0.1274,0.388,"56245"
"PSME2P2","ENSG00000225131",6.296,6.241,6.269,-0.489,0.1274,0.388,""
"POLDIP3","ENSG00000100227",10.759,10.846,10.803,-0.825,0.1275,0.388,"84271"
"ANKRD7","ENSG00000106013",6.568,6.599,6.584,-0.822,0.1274,0.388,"56311"
"OR4K13","ENSG00000176253",6.468,6.421,6.445,-0.789,0.1273,0.388,"390433"
"TMEM231","ENSG00000205084",8.383,8.663,8.523,-0.29,0.1277,0.3886,"79583"
"ZNF577","ENSG00000161551",8.282,8.291,8.287,-0.455,0.1277,0.3886,"84765"
"ST8SIA6-AS1","ENSG00000204832",6.383,6.391,6.387,-0.388,0.1278,0.3886,"100128098"
"KLHL42","ENSG00000087448",10.557,9.65,10.104,-0.124,0.1278,0.3887,"57542"
"AC004656.1","ENSG00000260822",8.274,7.795,8.034,-0.369,0.1279,0.3887,""
"MIR3189","ENSG00000264175",6.299,6.413,6.356,0.488,0.1279,0.3887,"100422943"
"FAM198A","ENSG00000144649",8.095,7.654,7.875,-1.651,0.128,0.3888,"729085"
"AC010776.2","ENSG00000267774",8.444,8.039,8.241,-0.288,0.128,0.3888,""
"SCG2","ENSG00000171951",7.674,7.395,7.535,0.204,0.128,0.3888,"7857"
"LYRM4","ENSG00000214113",9.067,9.045,9.056,-0.211,0.1279,0.3888,"57128"
"LDHD","ENSG00000166816",6.742,6.544,6.643,0.262,0.128,0.3888,"197257"
"ZNF563","ENSG00000188868",7.1,7.355,7.227,-0.436,0.128,0.3888,"147837"
"ASIP","ENSG00000101440",6.196,6.335,6.265,-0.547,0.128,0.3888,"434"
"DNAH7","ENSG00000118997",7.336,7.903,7.619,1.731,0.1282,0.3891,"56171"
"AL031666.1","ENSG00000231119",6.401,6.434,6.418,-0.766,0.1282,0.3892,"101927377"
"SUOX","ENSG00000139531",8.747,8.925,8.836,0.279,0.1283,0.3893,"6821"
"AC106872.5","ENSG00000248632",7.194,7.16,7.177,-0.236,0.1283,0.3893,""
"DSG2","ENSG00000046604",6.914,7.121,7.018,-0.737,0.1284,0.3896,"1829"
"AC090587.1","ENSG00000228661",6.502,6.272,6.387,-0.258,0.1286,0.39,"105376527"
"HECTD4","ENSG00000173064",10.401,10.616,10.509,-0.782,0.1286,0.39,"283450"
"FAM114A1","ENSG00000197712",11.973,12.146,12.059,-0.199,0.1287,0.3902,"92689"
"FBXO24","ENSG00000106336",6.746,6.801,6.774,0.335,0.1288,0.3905,"26261"
"AC011455.2","ENSG00000269547",6.609,6.458,6.534,0.922,0.1288,0.3905,""
"EFNA4","ENSG00000243364",7.38,7.765,7.572,-0.533,0.1289,0.3906,"1945"
"CGGBP1","ENSG00000163320",11.33,11.014,11.172,-0.192,0.1291,0.3911,"8545"
"BCL2L1","ENSG00000171552",11.103,10.911,11.007,-0.272,0.1292,0.3912,"598"
"NAA15","ENSG00000164134",10.028,9.807,9.917,-0.271,0.1291,0.3912,"80155"
"ALG1L6P","ENSG00000238278",6.371,6.475,6.423,-0.315,0.1292,0.3912,""
"SPSB2","ENSG00000111671",7.755,7.977,7.866,0.162,0.1292,0.3912,"105369632"
"AC124016.1","ENSG00000272677",6.672,6.66,6.666,-0.434,0.1292,0.3912,"101928963"
"EHD4-AS1","ENSG00000259883",6.247,6.292,6.27,-0.802,0.1292,0.3912,"101928363"
"DGCR6","ENSG00000183628",7.075,6.977,7.026,0.201,0.1293,0.3914,"8214"
"DYRK1B","ENSG00000105204",8.938,9.247,9.093,0.222,0.1294,0.3915,"9149"
"PGPEP1","ENSG00000130517",10.087,10.529,10.308,0.261,0.1296,0.392,"54858"
"DZANK1","ENSG00000089091",7.136,7.175,7.155,0.298,0.1296,0.3921,"55184"
"AL136372.2","ENSG00000285894",6.274,6.238,6.256,1.086,0.1297,0.3923,""
"GEMIN8P4","ENSG00000228175",6.247,6.436,6.342,0.318,0.1298,0.3925,""
"B4GALT3","ENSG00000158850",8.792,8.653,8.722,-0.899,0.1299,0.3927,"8703"
"HEG1","ENSG00000173706",13.887,13.153,13.52,0.265,0.13,0.3929,"57493"
"CPNE2","ENSG00000140848",9.16,9.019,9.089,-0.38,0.13,0.3929,"221184"
"AP001178.2","ENSG00000265490",6.274,6.228,6.251,0.841,0.13,0.3929,""
"ZNF503-AS2","ENSG00000237149",7.243,7.572,7.407,-0.284,0.1303,0.3935,"100131213"
"LINC01949","ENSG00000233828",7.084,7.047,7.066,-0.957,0.1304,0.3938,""
"SLC47A1","ENSG00000142494",6.97,7.147,7.058,0.129,0.1305,0.394,"55244"
"AC084125.2","ENSG00000255182",7.401,7.474,7.437,0.329,0.1306,0.3941,""
"AC093503.3","ENSG00000279161",6.541,6.512,6.527,0.827,0.1305,0.3941,""
"GPR162","ENSG00000250510",7.938,8.037,7.987,-0.203,0.1307,0.3945,"27239"
"TBL3","ENSG00000183751",9.333,9.261,9.297,0.854,0.1307,0.3945,"10607"
"ATP2C2","ENSG00000064270",6.497,6.335,6.416,-0.281,0.1307,0.3945,"9914"
"ZNF137P","ENSG00000123870",7.127,7.056,7.092,0.178,0.1308,0.3946,""
"MLLT3","ENSG00000171843",9.378,9.271,9.325,0.163,0.1308,0.3947,"4300"
"RPL27","ENSG00000131469",12.928,12.955,12.941,0.273,0.1309,0.3947,"6155"
"ACTR2","ENSG00000138071",12.502,12.249,12.375,-0.231,0.1309,0.3947,"10097"
"PNO1","ENSG00000115946",8.645,8.207,8.426,0.446,0.131,0.395,"56902"
"CDKN2C","ENSG00000123080",9.153,9.282,9.217,0.129,0.131,0.395,"1031"
"N4BP1","ENSG00000102921",9.811,10.003,9.907,-0.188,0.1311,0.3951,"9683"
"EIF3I","ENSG00000084623",11.408,11.428,11.418,0.198,0.1311,0.3951,"8668"
"AC079921.2","ENSG00000249685",6.426,6.547,6.487,0.237,0.1313,0.3956,""
"NDST1-AS1","ENSG00000254333",6.405,6.438,6.422,-0.324,0.1313,0.3956,"102546298"
"TTC3P1","ENSG00000215105",8.118,8.253,8.185,0.85,0.1314,0.3958,""
"IGSF8","ENSG00000162729",9.031,8.829,8.93,0.178,0.1315,0.3959,"93185"
"RBP7","ENSG00000162444",6.21,6.387,6.299,0.562,0.1315,0.3959,"116362"
"ZNF197-AS1","ENSG00000233509",6.358,6.39,6.374,2.222,0.1315,0.3959,"100874094"
"CAPRIN1","ENSG00000135387",12.441,12.642,12.541,-0.316,0.1316,0.396,"4076"
"NDUFV1","ENSG00000167792",10.539,10.456,10.497,0.17,0.1316,0.396,"4723"
"PROCR","ENSG00000101000",8.451,8.658,8.555,-1.323,0.1317,0.3962,"10544"
"CIR1","ENSG00000138433",9.745,9.9,9.822,-0.384,0.1318,0.3964,"9541"
"AL354813.1","ENSG00000255438",6.369,6.477,6.423,-0.634,0.1318,0.3964,""
"FAM84A","ENSG00000162981",6.789,6.558,6.674,-0.23,0.1318,0.3964,"151354"
"ITGA8","ENSG00000077943",9.573,8.713,9.143,0.184,0.132,0.3965,"8516"
"IL6","ENSG00000136244",7.733,8.357,8.045,-0.531,0.132,0.3965,"3569"
"RGS17","ENSG00000091844",7.469,7.753,7.611,-0.163,0.132,0.3965,"26575"
"LRRC4","ENSG00000128594",6.623,7.105,6.864,-0.138,0.132,0.3965,"64101"
"SPC24","ENSG00000161888",7.573,7.557,7.565,0.194,0.1321,0.3965,"147841"
"KLHL28","ENSG00000179454",8.87,8.9,8.885,-0.541,0.132,0.3965,"54813"
"TAF9B","ENSG00000187325",9.068,9.127,9.098,-0.261,0.132,0.3965,"51616"
"VTN","ENSG00000109072",6.854,6.902,6.878,-0.498,0.132,0.3965,"7448"
"AC010595.1","ENSG00000250874",6.268,6.29,6.279,-0.431,0.132,0.3965,""
"MRPL46","ENSG00000259494",8.551,8.46,8.505,-0.477,0.132,0.3965,"26589"
"AC023157.1","ENSG00000223722",6.612,6.632,6.622,0.599,0.1322,0.3967,""
"MED4","ENSG00000136146",9.695,9.562,9.629,0.204,0.1322,0.3968,"29079"
"XRCC2","ENSG00000196584",6.993,7.029,7.011,-1.353,0.1323,0.3968,"7516"
"YIF1B","ENSG00000167645",9.914,9.018,9.466,0.733,0.1323,0.397,"90522"
"HTR1B","ENSG00000135312",6.661,6.255,6.458,0.404,0.1326,0.3976,"3351"
"ADAMTS6","ENSG00000049192",7.989,8.124,8.056,0.327,0.1326,0.3976,"11174"
"HSF1","ENSG00000185122",10.524,10.117,10.321,0.162,0.1325,0.3976,"3297"
"ITGA9","ENSG00000144668",6.666,6.775,6.72,0.387,0.1326,0.3976,"3680"
"TIRAP","ENSG00000150455",7.985,8.114,8.049,0.174,0.1329,0.3984,"114609"
"AC006058.1","ENSG00000261786",8.366,8.442,8.404,-0.246,0.133,0.3986,""
"TVP23B","ENSG00000171928",9.727,9.485,9.606,0.459,0.1331,0.3989,"51030"
"MIR4258","ENSG00000264349",6.24,6.298,6.269,0.171,0.1332,0.3991,"100423020"
"AP000866.1","ENSG00000245498",7.112,7.271,7.192,0.271,0.1334,0.3997,"100507283"
"SNX18P26","ENSG00000227568",6.346,6.355,6.35,0.227,0.1335,0.3998,""
"TTLL12","ENSG00000100304",9.572,9.218,9.395,0.321,0.1335,0.3998,"23170"
"CASC1","ENSG00000118307",6.625,6.699,6.662,0.242,0.1335,0.3998,"55259"
"TMA7","ENSG00000232112",10.571,10.367,10.469,-0.178,0.1336,0.3999,"51372"
"KCNK15","ENSG00000124249",7.793,8.574,8.184,-0.313,0.1337,0.4001,"60598"
"ZRANB1","ENSG00000019995",11.452,10.534,10.993,-0.193,0.1338,0.4004,"54764"
"MYO9B","ENSG00000099331",11.435,11.461,11.448,-0.298,0.1339,0.4005,"4650"
"LGALS8","ENSG00000116977",10.559,10.443,10.501,-1.073,0.1339,0.4006,"3964"
"POU5F1","ENSG00000204531",6.614,6.755,6.684,-0.569,0.1339,0.4006,"5460"
"SMAP2","ENSG00000084070",9.195,9.284,9.24,-0.234,0.1341,0.4009,"64744"
"FAM129B","ENSG00000136830",14.43,13.754,14.092,-0.41,0.1341,0.401,"64855"
"AC097059.1","ENSG00000226835",6.648,6.51,6.579,-0.961,0.1342,0.401,"107985092"
"LINC01123","ENSG00000204588",6.903,6.728,6.816,-0.656,0.1342,0.401,"440894"
"ANAPC1","ENSG00000153107",10.157,10.032,10.095,0.159,0.1343,0.4013,"64682"
"AC040977.2","ENSG00000267047",6.361,6.256,6.309,-0.416,0.1344,0.4015,""
"CHRM5","ENSG00000184984",6.367,6.385,6.376,-0.635,0.1344,0.4016,"1133"
"AC025181.2","ENSG00000272086",7.546,7.39,7.468,0.328,0.1345,0.4017,""
"RABEPK","ENSG00000136933",8.921,8.902,8.911,0.304,0.1345,0.4017,"10244"
"DNTTIP2","ENSG00000067334",9.992,9.863,9.928,-0.532,0.1345,0.4017,"30836"
"OFD1P17","ENSG00000228212",6.275,6.223,6.249,0.302,0.1346,0.4018,""
"AC004846.1","ENSG00000258376",7.525,7.579,7.552,0.29,0.1347,0.4019,"101928123"
"CENPU","ENSG00000151725",7.2,7.058,7.129,-0.481,0.1347,0.4019,"79682"
"MIAT","ENSG00000225783",7.231,7.998,7.615,0.242,0.1348,0.4021,"440823"
"PPP4R1","ENSG00000154845",10.707,10.669,10.688,-0.215,0.1348,0.4021,"9989"
"LINC01892","ENSG00000265514",6.423,6.353,6.388,-0.254,0.1348,0.4021,""
"MED30","ENSG00000164758",7.946,7.716,7.831,0.463,0.1349,0.4022,"90390"
"CCNB3P1","ENSG00000249616",6.491,6.461,6.476,0.408,0.1349,0.4022,""
"MAP1A","ENSG00000166963",12.391,13.115,12.753,0.875,0.1351,0.4026,"4130"
"EVA1B","ENSG00000142694",10.056,10.081,10.068,0.244,0.1351,0.4026,"55194"
"EEF1G","ENSG00000254772",14.915,14.998,14.956,-0.166,0.1351,0.4026,"1937"
"FAM200B","ENSG00000237765",8.93,8.751,8.841,0.198,0.135,0.4026,"285550"
"CDH18","ENSG00000145526",6.568,6.66,6.614,0.622,0.1351,0.4026,"1016"
"ADORA1","ENSG00000163485",7.013,7.444,7.228,-0.237,0.1352,0.4027,"134"
"MFSD11","ENSG00000092931",8.972,9.193,9.083,0.155,0.1352,0.4027,"79157"
"SMS","ENSG00000102172",10.341,10.408,10.375,0.184,0.1352,0.4027,"6611"
"PLA2G4D","ENSG00000159337",6.336,6.265,6.301,0.229,0.1353,0.4027,"283748"
"CD82","ENSG00000085117",11.664,10.508,11.086,0.241,0.1353,0.4028,"3732"
"FAM167A","ENSG00000154319",7.903,7.415,7.659,-0.276,0.1354,0.4028,"83648"
"PGAM5","ENSG00000247077",8.695,8.422,8.558,0.224,0.1354,0.4028,"192111"
